location,sampler,cv,n,n_pos,n_neg,pos_rate,n_train_fit,n_synthetic,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,accuracy,bal_acc,precision_U,recall_U,f1_U,precision_H,recall_H,f1_macro,MCC,tn,fp,fn,tp,thr_best_f1,f1_U_best,recall_U_best,params,gsmote_k_neighbors,gsmote_truncation_factor,gsmote_deformation_factor,gsmote_selection_strategy
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08398414278474302,0.09212344541685859,-0.00813930263211557,0.46738964992389653,0.7001381851681253,0.4776902587519026,0.07692307692307693,0.205,0.11186903137789904,0.9029304029304029,0.7503805175038052,0.46574332699402016,-0.029982116386887903,1479,492,159,41,0.05,0.16795983569146508,0.92,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}",3,1.0,0.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08334517437865477,0.09212344541685859,-0.00877827103820382,0.4715055809233891,0.6701980654076463,0.4634474885844749,0.07,0.21,0.105,0.8994271164863145,0.7168949771689498,0.451427159796725,-0.04727611814943166,1413,558,158,42,0.05,0.1738343141693074,0.96,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 1.0}",3,1.0,0.5,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.0813208923906227,0.09212344541685859,-0.010802553026235881,0.46063926940639266,0.7664670658682635,0.4715398274987316,0.06267806267806268,0.11,0.07985480943738657,0.9021978021978022,0.8330796549974632,0.47305850469231503,-0.04471328537673665,1642,329,178,22,0.05,0.16475095785440613,0.86,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 1.0}",3,1.0,0.5,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08230605257761872,0.09212344541685859,-0.009817392839239866,0.4595852359208524,0.7669276830953478,0.4762861491628615,0.06779661016949153,0.12,0.08664259927797834,0.903137039075399,0.832572298325723,0.4765314369145964,-0.03712883262874323,1641,330,176,24,0.05,0.16291327264015332,0.85,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}",3,1.0,0.5,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08105712945771529,0.09212344541685859,-0.0110663159591433,0.46050481988838154,0.7858129894058038,0.47545535261288685,0.0627062706270627,0.095,0.07554671968190854,0.9031049250535332,0.8559107052257737,0.47721071331842235,-0.04096711233677044,1687,284,181,19,0.06,0.1580547112462006,0.78,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 1.0}",3,1.0,1.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08015761482548736,0.09212344541685859,-0.011965830591371227,0.4554984779299848,0.8355596499309074,0.48038939624556065,0.05142857142857143,0.045,0.048,0.904308617234469,0.9157787924911213,0.4790037811948576,-0.04166582422529577,1805,166,191,9,0.06,0.15658747300215983,0.725,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 1.0}",3,1.0,1.0,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08101577693485776,0.09212344541685859,-0.01110766848200083,0.46229452054794523,0.8355596499309074,0.4826357179096905,0.05649717514124294,0.05,0.05305039787798409,0.9047141424272819,0.915271435819381,0.48150628342827323,-0.036702523718446595,1804,167,190,10,0.05,0.15879605604566685,0.765,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}",3,1.0,1.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08949664518319361,0.09212344541685859,-0.002626800233664975,0.49787290715372906,0.5776140027637033,0.500064687975647,0.09215017064846416,0.405,0.15013901760889714,0.9078947368421053,0.5951293759512938,0.43455464518201525,7.622302350756725e-05,1173,798,119,81,0.06,0.17410323709536307,0.995,"{""deformation_factor"": 0.0, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",4,-1.0,0.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.0838173540793257,0.09212344541685859,-0.008306091337532892,0.47131278538812793,0.7111929986181483,0.48153221714865546,0.07889546351084813,0.2,0.11315417256011315,0.9038461538461539,0.763064434297311,0.4703322444643757,-0.025247735067379824,1504,467,160,40,0.13,0.1674515960230246,0.8,"{""deformation_factor"": 0.0, ""k_neighbors"": 4, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",4,-1.0,0.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08686968108717877,0.09212344541685859,-0.005253764329679819,0.47987823439878236,0.6282818977429756,0.45608701166920346,0.06950354609929078,0.245,0.10828729281767956,0.8969986357435198,0.6671740233384069,0.43674475202420204,-0.05424000917853544,1315,656,151,49,0.05,0.17341549295774647,0.985,"{""deformation_factor"": 0.5, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",4,-1.0,0.5,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08151718287058811,0.09212344541685859,-0.010606262546270478,0.4613964992389651,0.7637033625057578,0.4722640791476408,0.06406685236768803,0.115,0.08228980322003578,0.902317880794702,0.8295281582952816,0.47334157092008927,-0.0431821810574428,1635,336,177,23,0.05,0.16475095785440613,0.86,"{""deformation_factor"": 0.5, ""k_neighbors"": 4, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",4,-1.0,0.5,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08142839978585457,0.09212344541685859,-0.010695045631004013,0.45748731608320653,0.7383694150161216,0.47852866565195334,0.07407407407407407,0.16,0.10126582278481013,0.9033927544565843,0.7970573313039067,0.47408304616329455,-0.031106824284716093,1571,400,168,32,0.05,0.1710646041856233,0.94,"{""deformation_factor"": 1.0, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",4,-1.0,1.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08011341641806924,0.09212344541685859,-0.012010028998789349,0.4516412988330797,0.8189774297558728,0.477995941146626,0.055299539170506916,0.06,0.05755395683453238,0.9037871033776868,0.8959918822932521,0.47871328414975023,-0.04243253292601492,1766,205,188,12,0.05,0.15680323722812342,0.775,"{""deformation_factor"": 1.0, ""k_neighbors"": 4, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",4,-1.0,1.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.09269082290738706,0.09212344541685859,0.0005673774905284729,0.4956456113647894,0.5601105481345002,0.4949175545408422,0.09011943539630836,0.415,0.1480820695807315,0.9064,0.5748351090816844,0.42579514841967336,-0.005948071917073279,1133,838,117,83,0.11,0.17570596145226355,0.98,"{""deformation_factor"": 0.0, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.0}",4,0.0,0.0,minority
