location,sampler,cv,n,n_pos,n_neg,pos_rate,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,precision_U,recall_U,f1_U,precision_H,recall_H,f1_macro,MCC,bal_acc,accuracy,tn,fp,fn,tp,thr_best_f1,f1_U_best,recall_U_best,n_train_fit,n_synthetic,params
Serting_Basemap,none,spatial,1667,154,1513,0.09238152369526095,0.09121746814877364,0.09238152369526095,-0.001164055546487311,0.4945429652964352,0.0625,0.006493506493506494,0.011764705882352941,0.90732889158086,0.9900859220092532,0.4793336803748048,-0.010158859852299315,0.4982897142513798,0.8992201559688062,1498,15,153,1,0.05,0.16425855513307985,0.7012987012987013,1333,0,{}
Serting_Basemap,none,random,1667,154,1513,0.09238152369526095,0.13542069086613062,0.09238152369526095,0.04303916717086967,0.5706775049141208,0.5555555555555556,0.032467532467532464,0.06134969325153374,0.9101326899879373,0.9973562458691342,0.5065499648849912,0.11784983245249148,0.5149118891683333,0.9082183563287343,1509,4,149,5,0.14,0.19389587073608616,0.35064935064935066,1333,0,{}
Serting_Basemap,class_weighted_rf,spatial,1667,154,1513,0.09238152369526095,0.0971593308788244,0.09238152369526095,0.004777807183563451,0.512853966918739,0.0,0.0,0.0,0.9071170084439083,0.9940515532055518,0.4742983286029644,-0.023505521338200202,0.4970257766027759,0.9022195560887822,1504,9,154,0,0.06,0.17511520737327188,0.6168831168831169,1333,0,{}
Serting_Basemap,class_weighted_rf,random,1667,154,1513,0.09238152369526095,0.13008752940013715,0.09238152369526095,0.0377060057048762,0.564898584561506,0.3333333333333333,0.012987012987012988,0.025,0.9084888621312462,0.9973562458691342,0.48792533081285444,0.050012294137061555,0.5051716294280736,0.9064187162567486,1509,4,152,2,0.15,0.1965065502183406,0.2922077922077922,1333,0,{}
Serting_Basemap,random_oversample,spatial,1667,154,1513,0.09238152369526095,0.09927584021643596,0.09238152369526095,0.0068943165211750035,0.5076565866387414,0.11538461538461539,0.03896103896103896,0.05825242718446602,0.908359133126935,0.969596827495043,0.49811598341320484,0.014254677440357673,0.504278933228041,0.883623275344931,1467,46,148,6,0.07,0.16932103939647947,0.6558441558441559,2420,1087,{}
Serting_Basemap,random_oversample,random,1667,154,1513,0.09238152369526095,0.13477711673499365,0.09238152369526095,0.0423955930397327,0.5795357979759831,0.18867924528301888,0.06493506493506493,0.0966183574879227,0.9107806691449815,0.9715796430931923,0.5184083152965677,0.06026400033066078,0.5182573540141286,0.8878224355128974,1470,43,144,10,0.24,0.2073732718894009,0.2922077922077922,2420,1087,{}
Serting_Basemap,smote,spatial,1667,154,1513,0.09238152369526095,0.09611610649636934,0.09238152369526095,0.003734582801108388,0.5058754860473301,0.10526315789473684,0.18181818181818182,0.13333333333333333,0.9100642398286938,0.8426966292134831,0.5042095630290552,0.0193842270621522,0.5122574055158324,0.7816436712657469,1275,238,126,28,0.07,0.16854678168546783,0.8246753246753247,2420,1087,"{""k_neighbors"": 5}"
Serting_Basemap,smote,random,1667,154,1513,0.09238152369526095,0.13403374624568762,0.09238152369526095,0.041652222550426665,0.5743706062608905,0.15294117647058825,0.2532467532467532,0.19070904645476772,0.9185552407932012,0.8572372769332453,0.5387733266461873,0.08887751303189274,0.5552420150899993,0.8014397120575885,1297,216,115,39,0.52,0.1974025974025974,0.24675324675324675,2420,1087,"{""k_neighbors"": 5}"
Serting_Basemap,gsmote,spatial,1667,154,1513,0.09238152369526095,0.09723893434390717,0.09238152369526095,0.004857410648646213,0.5034291551145483,0.10406091370558376,0.2662337662337662,0.14963503649635038,0.9112333071484682,0.7666886979510905,0.4911850702941192,0.022439327937859785,0.5164612320924283,0.7204559088182364,1160,353,113,41,0.12,0.17442622950819672,0.8636363636363636,2420,1087,"{""deformation_factor"": 0.0, ""k_neighbors"": 5, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}"
Serting_Basemap,gsmote,random,1667,154,1513,0.09238152369526095,0.1395149789777781,0.09238152369526095,0.04713345528251714,0.5730272701521875,0.12806539509536785,0.3051948051948052,0.18042226487523993,0.9176923076923077,0.7884996695307337,0.5143135142364113,0.06547704885941778,0.5468472373627694,0.7438512297540492,1193,320,107,47,0.58,0.20673076923076922,0.2792207792207792,2420,1087,"{""deformation_factor"": 0.0, ""k_neighbors"": 5, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}"
