id,Long,Lat,Class,Location,HH_meanW3,HV_meanW3,VV_meanW3,VH_meanW3,HA_Aniso_meanW3,HA_Iso_meanW3,HA_Alpha_meanW3,YA_Double_meanW3,YA_Vol_meanW3,YA_Surf_meanW3,YA_He_meanW3,RVI_meanW3,RFDI_meanW3,RFDI_VH_meanW3,block
32,102.4872476,2.953706131,Healthy,Serting_Basemap,0.17357519931263393,0.016484156975315675,0.016793816143439874,0.07298082154658106,,,,,,,,0.5904666996459851,0.8265367483372789,0.40799805827290214,51243_1476
34,102.4873139,2.953825893,Healthy,Serting_Basemap,0.15968182186285654,0.016960085576607123,0.016511469665500853,0.08100200237499343,,,,,,,,0.64574960062641,0.8079721191595548,0.32690115231885997,51243_1476
35,102.4873081,2.953747989,Healthy,Serting_Basemap,0.158856643570794,0.016281269387238555,0.01539491768926382,0.06922471357716455,,,,,,,,0.6297933993676377,0.8140748726274937,0.3929822722664894,51243_1476
36,102.4873092,2.953672411,Healthy,Serting_Basemap,0.16820876631471846,0.015980851215620834,0.015516082963181866,0.06817514987455474,,,,,,,,0.5927435378417607,0.8264739193240519,0.4231828377023188,51243_1476
37,102.4873104,2.953589856,Healthy,Serting_Basemap,0.19167659017774794,0.020280355277160805,0.017546694725751877,0.08924917007486026,,,,,,,,0.6495325768166872,0.80863703018899,0.3646067203334612,51243_1476
38,102.4873092,2.95351079,Healthy,Serting_Basemap,0.20239976545174918,0.023068054889639217,0.019297208016117413,0.0968737006187439,,,,,,,,0.6890277962667664,0.7953760775731888,0.3526074871206553,51243_1476
39,102.4873127,2.953435212,Healthy,Serting_Basemap,0.23343194524447122,0.026846937007374234,0.022292901037467852,0.09565960284736422,,,,,,,,0.694125733094156,0.7937063754454179,0.4186444264398447,51243_1476
40,102.487243,2.953400329,Healthy,Serting_Basemap,0.23000404569837782,0.025218063758479223,0.025011465574304264,0.11267848561207454,,,,,,,,0.6604793834704938,0.802383392158726,0.3423739156987039,51243_1476
41,102.4873732,2.953396841,Healthy,Serting_Basemap,0.22207199864917332,0.028601675397819944,0.02292713729871644,0.0926699729429351,,,,,,,,0.7571526152819079,0.7718015223851704,0.41113685935073657,51243_1476
43,102.4873767,2.953551486,Healthy,Serting_Basemap,0.16986740049388674,0.021785095954934757,0.016470424313512113,0.08701854571700096,,,,,,,,0.7580456311525732,0.7726604520306659,0.3225122121272914,51243_1476
44,102.4873802,2.953628227,Healthy,Serting_Basemap,0.12401996387375726,0.023311601744757757,0.020853313617408276,0.07741120043728086,,,,,,,,0.9738707103284903,0.6835491206939539,0.2313880456179357,51243_1476
45,102.4873732,2.953707293,Healthy,Serting_Basemap,0.16247413804133734,0.0176549069583416,0.016652154736220837,0.07098803586430019,,,,,,,,0.6586542623072429,0.8039749007898969,0.39186691636827936,51243_1476
46,102.4873767,2.953779383,Healthy,Serting_Basemap,0.16152348783281115,0.016376394054128066,0.016822595252758928,0.08215900096628401,,,,,,,,0.620615125472334,0.8158920188093686,0.32568810035406137,51243_1476
47,102.4873743,2.953856124,Healthy,Serting_Basemap,0.19617983367707995,0.016987298822237387,0.016692829525305167,0.08693837208880319,,,,,,,,0.5505363523649075,0.8406199058638479,0.38585106631613436,51243_1476
