estate,feature_set,method,n_clusters,ari,ami,silhouette_sample,max_cluster_size,max_cluster_unhealthy_rate,max_cluster_enrichment,unhealthy_in_max_cluster,total_unhealthy,bic,aic
AHCensus_Basemap,extended_indices,gmm_diag,6,-0.00039017722985246883,0.00012711323156572573,,537,0.08007448789571694,1.256668994413408,43,160,50457.051658083925,49728.49711318922
AHCensus_Basemap,extended_indices,gmm_diag,7,-0.00012628361256517636,0.0021768881620953225,,356,0.09831460674157304,1.542924859550562,35,160,49704.69118385548,48853.73947541847
AHCensus_Basemap,extended_indices,gmm_diag,8,0.00027672973022283,0.0022779510948380765,,319,0.109717868338558,1.7218847962382446,35,160,48227.46099387335,47254.11212189403
AHCensus_Basemap,local14,kmeans,2,-0.00018107994670948986,-0.00043061472628046796,0.16797492441142564,1376,0.06395348837209303,1.003670058139535,88,160,,
AHCensus_Basemap,local14,kmeans,3,-0.00020598139548824422,-0.0005228337946057334,0.11293574499768763,982,0.06619144602851323,1.0387920061099796,65,160,,
AHCensus_Basemap,local14,kmeans,4,0.00015871559425238344,0.000246683706095973,0.10967629668853797,778,0.07455012853470437,1.1699710796915168,58,160,,
AHCensus_Basemap,local14,kmeans,5,0.000671448978342398,0.0004590555686389594,0.09931801662920896,473,0.080338266384778,1.26080866807611,38,160,,
AHCensus_Basemap,local14,kmeans,6,-0.0006822574003888616,0.0005566513913232876,0.09238501425790645,536,0.07649253731343283,1.2004547574626867,41,160,,
AHCensus_Basemap,local14,kmeans,7,-0.0015975738066241465,0.0011091817226793574,0.09262654340271839,581,0.08605851979345955,1.350580895008606,50,160,,
AHCensus_Basemap,local14,kmeans,8,-2.011931159164054e-05,0.00033963983737536293,0.0895796267147594,277,0.08303249097472924,1.3030911552346571,23,160,,
AHCensus_Basemap,local14,kmeans,9,0.0005271623991737474,0.0004593427844858583,0.08760689667852867,129,0.08527131782945736,1.3382267441860467,11,160,,
AHCensus_Basemap,local14,kmeans,10,0.00011043882209736606,-7.526855613135559e-05,0.08252684898093336,123,0.08943089430894309,1.4035060975609757,11,160,,
AHCensus_Basemap,local14,kmeans,11,-0.00042160245581543166,5.162220836712769e-05,0.08177443834199456,119,0.09243697478991597,1.450682773109244,11,160,,
AHCensus_Basemap,local14,kmeans,12,-0.0004948204190874279,0.001174924720780057,0.07130932272614389,111,0.09009009009009009,1.4138513513513513,10,160,,
AHCensus_Basemap,local14,gmm_diag,2,0.0016012120927089086,-0.00029254201767750423,,1044,0.06704980842911877,1.0522629310344829,70,160,94878.62727783684,94546.40640536486
AHCensus_Basemap,local14,gmm_diag,3,0.0011332663830149324,-0.0005208985502776257,,635,0.06771653543307087,1.062726377952756,43,160,90390.54128742061,89889.29576053306
AHCensus_Basemap,local14,gmm_diag,4,0.00019350818551214694,-0.0007102426539148649,,617,0.06645056726094004,1.0428585899513778,41,160,88700.89338657046,88030.62320526734
AHCensus_Basemap,local14,gmm_diag,5,0.0007964423281475995,-0.00013143622881855177,,459,0.0784313725490196,1.2308823529411765,36,160,87544.68843318931,86705.39359747061
