stage,cv,estate,model,feature_set,n_mean,n_std,n_pos_mean,n_pos_std,n_neg_mean,n_neg_std,pos_rate_mean,pos_rate_std,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,pr_auc_lift_std,roc_auc_mean,roc_auc_std,precision_at_1pct_mean,precision_at_1pct_std,recall_at_1pct_mean,recall_at_1pct_std,enrichment_at_1pct_mean,enrichment_at_1pct_std,precision_at_5pct_mean,precision_at_5pct_std,recall_at_5pct_mean,recall_at_5pct_std,enrichment_at_5pct_mean,enrichment_at_5pct_std,precision_at_10pct_mean,precision_at_10pct_std,recall_at_10pct_mean,recall_at_10pct_std,enrichment_at_10pct_mean,enrichment_at_10pct_std,precision_at_20pct_mean,precision_at_20pct_std,recall_at_20pct_mean,recall_at_20pct_std,enrichment_at_20pct_mean,enrichment_at_20pct_std,feature_order
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,coords_only,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0604084342546423,0.000190629532421,-0.0033111993574644,0.000190629532421,0.4812898766482347,0.0015544466711043,0.0256410256410256,0.0222057795842163,0.0041666666666666,0.0036084391824351,0.4024038461538462,0.3484919533497958,0.0423280423280423,0.0045821449935684,0.0333333333333333,0.0036084391824351,0.6642857142857143,0.0719110379928149,0.0634920634920634,0.0039682539682539,0.1,0.0062499999999999,0.9964285714285714,0.0622767857142858,0.0556660039761431,0.003976143141153,0.175,0.0124999999999999,0.8736083499005964,0.0624005964214711,10
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,raw4,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.0884247876043152,0.0006999289530682,-0.0036986578125433,0.0006999289530682,0.4904570438017927,0.0040059257868384,0.0454545454545454,8.498374721940739e-18,0.005,0.0,0.4934090909090909,0.0,0.0428134556574923,0.0230881787011337,0.0233333333333333,0.0125830573921179,0.4647400611620795,0.2506221798008073,0.0779816513761468,0.012136473903966,0.085,0.0132287565553229,0.8464908256880735,0.131741424227551,0.0865900383141762,0.0115706274870049,0.1883333333333333,0.0251661147842358,0.9399348659003832,0.1255991613714391,0
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,log_raw4,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.0884283250578157,0.0007047768697499,-0.0036951203590428,0.0007047768697499,0.4904654997463216,0.0040203070404051,0.0454545454545454,8.498374721940739e-18,0.005,0.0,0.4934090909090909,0.0,0.0428134556574923,0.0230881787011337,0.0233333333333333,0.0125830573921179,0.4647400611620795,0.2506221798008073,0.0779816513761468,0.012136473903966,0.085,0.0132287565553229,0.8464908256880735,0.131741424227551,0.0865900383141762,0.0115706274870049,0.1883333333333333,0.0251661147842358,0.9399348659003832,0.1255991613714391,1
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,existing_indices,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.0933878120524362,0.0007734036471125,0.0012643666355776,0.0007734036471125,0.5102409944190766,0.0006435484900897,0.0454545454545454,0.0454545454545454,0.005,0.005,0.4934090909090909,0.4934090909090909,0.0886850152905198,0.0140139929509352,0.0483333333333333,0.0076376261582597,0.9626758409785934,0.1521218934824026,0.0963302752293578,0.0045871559633027,0.105,0.0049999999999999,1.045665137614679,0.0497935779816514,0.0835249042145593,0.0047854390792324,0.1816666666666666,0.0104083299973306,0.9066628352490422,0.0519459412050686,2
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,extended_indices,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.0790719480365617,0.0005482940750298,-0.0130514973802968,0.0005482940750298,0.4508764586504312,0.003662659258434,0.0454545454545454,8.498374721940739e-18,0.005,0.0,0.4934090909090909,0.0,0.0489296636085626,0.0052967914604552,0.0266666666666666,0.0028867513459481,0.531131498470948,0.057496671303242,0.0474006116207951,0.0070069964754676,0.0516666666666666,0.0076376261582597,0.514533639143731,0.0760609467412012,0.0613026819923371,0.0092906939869594,0.1333333333333333,0.0202072594216368,0.6654406130268199,0.1008504832284453,3
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,local14,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.0838150518981307,0.0012243528373807,-0.0083083935187278,0.0012243528373807,0.4689776763064435,0.0054085393207759,0.0,0.0,0.0,0.0,0.0,0.0,0.0581039755351682,0.0052967914604552,0.0316666666666666,0.0028867513459481,0.6307186544342508,0.0574966713032421,0.0626911314984709,0.0026483957302276,0.0683333333333333,0.0028867513459481,0.6805122324159022,0.028748335651621,0.0766283524904214,0.0073897706980788,0.1666666666666666,0.0160727512683215,0.831800766283525,0.0802159609276463,4
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,all14,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.0969347552328054,0.0007997906563033,0.0048113098159468,0.0007997906563033,0.5267250126839168,0.0033926980851454,0.0757575757575757,0.0262431940540739,0.0083333333333333,0.0028867513459481,0.8223484848484849,0.2848698714569722,0.0856269113149847,0.0052967914604552,0.0466666666666666,0.0028867513459481,0.9294801223241592,0.0574966713032421,0.091743119266055,0.0091743119266055,0.1,0.01,0.9958715596330276,0.0995871559633028,0.0919540229885057,0.0,0.2,3.399349888776296e-17,0.9981609195402298,1.3597399555105182e-16,5
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,raw4_plus_ext,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.080211635810081,0.0013333940040018,-0.0119118096067775,0.0013333940040018,0.4567127515643497,0.006574315895283,0.0,0.0,0.0,0.0,0.0,0.0,0.0642201834862385,0.0091743119266055,0.035,0.005,0.6971100917431193,0.0995871559633028,0.0626911314984709,0.0026483957302276,0.0683333333333333,0.0028867513459481,0.6805122324159022,0.028748335651621,0.0674329501915708,0.0070231045133422,0.1466666666666667,0.0152752523165194,0.7319846743295019,0.0762357994923305,6
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,raw4_plus_local,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.0930876372719207,0.0005054686302673,0.0009641918550622,0.0005054686302673,0.505484525621512,0.000642182085112,0.0757575757575757,0.0524863881081477,0.0083333333333333,0.0057735026918962,0.8223484848484849,0.5697397429139444,0.0856269113149847,0.0140139929509352,0.0466666666666666,0.0076376261582597,0.9294801223241592,0.1521218934824026,0.091743119266055,0.0079451871906829,0.0999999999999999,0.0086602540378443,0.9958715596330276,0.0862450069548631,0.0942528735632183,0.0022988505747126,0.205,0.0049999999999999,1.0231149425287356,0.0249540229885057,7
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,all14_plus_ext,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.093555672300118,0.0006139323626001,0.0014322268832594,0.0006139323626001,0.5144241501775749,0.0027328151464251,0.0606060606060606,0.0262431940540739,0.0066666666666666,0.0028867513459481,0.657878787878788,0.2848698714569722,0.0764525993883792,0.0140139929509352,0.0416666666666666,0.0076376261582597,0.8298929663608563,0.1521218934824026,0.091743119266055,0.0045871559633027,0.0999999999999999,0.0049999999999999,0.9958715596330276,0.0497935779816514,0.0850574712643678,0.0045977011494252,0.1849999999999999,0.01,0.9232988505747128,0.0499080459770115,8
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,all14_plus_local,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.101503025347781,0.0004993643409665,0.0093795799309224,0.0004993643409665,0.5274894300693388,0.0046367857048548,0.1212121212121212,0.0524863881081478,0.0133333333333333,0.0057735026918962,1.315757575757576,0.5697397429139444,0.1223241590214067,0.0052967914604552,0.0666666666666666,0.0028867513459481,1.32782874617737,0.0574966713032421,0.1116207951070336,0.0026483957302276,0.1216666666666666,0.0028867513459481,1.2116437308868502,0.028748335651621,0.1034482758620689,0.0068965517241379,0.2249999999999999,0.015,1.1229310344827583,0.0748620689655171,9
supervised,spatial_5fold_repeated,Palong_Basemap,xgboost_balanced,coords_only,2171.0,0.0,200.0,0.0,1971.0,0.0,0.0921234454168585,0.0,0.1724562640861768,0.0024630579143259,0.0803328186693183,0.0024630579143259,0.7046063757821749,0.0031027819570678,0.2272727272727272,0.0,0.025,4.2491873609703695e-18,2.4670454545454548,0.0,0.1834862385321101,0.0091743119266055,0.1,0.0049999999999999,1.9917431192660555,0.0995871559633028,0.1880733944954128,0.0079451871906829,0.205,0.0086602540378443,2.041536697247707,0.086245006954863,0.1655172413793103,0.0105346567700134,0.36,0.0229128784747791,1.796689655172414,0.1143536992384956,10
supervised,spatial_5fold_repeated,Serting_Basemap,xgboost_balanced,raw4,1667.0,0.0,154.0,0.0,1513.0,0.0,0.0923815236952609,1.6996749443881478e-17,0.096614441966731,0.0014492553110285,0.0042329182714701,0.0014492553110285,0.524544853692243,0.0030328210932877,0.0392156862745098,0.0339617805405662,0.0043290043290043,0.0037490277220105,0.424497071555895,0.3676252477995057,0.0793650793650793,0.0068732174903526,0.0432900432900432,0.0037490277220105,0.8591012162440733,0.0744003477689476,0.0858283433133732,0.0091468576745625,0.093073593073593,0.0099189950107269,0.9290639500220338,0.0990117645681544,0.0958083832335329,0.0029940119760479,0.2077922077922077,0.0064935064935064,1.037094641885061,0.0324092075589081,0
supervised,spatial_5fold_repeated,Serting_Basemap,xgboost_balanced,log_raw4,1667.0,0.0,154.0,0.0,1513.0,0.0,0.0923815236952609,1.6996749443881478e-17,0.096614441966731,0.0014492553110285,0.0042329182714701,0.0014492553110285,0.524544853692243,0.0030328210932877,0.0392156862745098,0.0339617805405662,0.0043290043290043,0.0037490277220105,0.424497071555895,0.3676252477995057,0.0793650793650793,0.0068732174903526,0.0432900432900432,0.0037490277220105,0.8591012162440733,0.0744003477689476,0.0858283433133732,0.0091468576745625,0.093073593073593,0.0099189950107269,0.9290639500220338,0.0990117645681544,0.0958083832335329,0.0029940119760479,0.2077922077922077,0.0064935064935064,1.037094641885061,0.0324092075589081,1
supervised,spatial_5fold_repeated,Serting_Basemap,xgboost_balanced,existing_indices,1667.0,0.0,154.0,0.0,1513.0,0.0,0.0923815236952609,1.6996749443881478e-17,0.0772376135130334,0.0009259731340584,-0.0151439101822274,0.0009259731340584,0.4184670803970209,0.0042467985182339,0.0392156862745098,0.0339617805405662,0.0043290043290043,0.0037490277220105,0.424497071555895,0.3676252477995057,0.0595238095238095,0.0119047619047619,0.0324675324675324,0.0064935064935064,0.644325912183055,0.128865182436611,0.0698602794411177,0.0069143744813128,0.0757575757575757,0.0074980554440211,0.7562148430411902,0.0748458588334323,0.0668662674650698,0.0017285936203282,0.145021645021645,0.0037490277220105,0.723805635482282,0.018711464708358,2
