id,Long,Lat,Class
249,102.439022,2.948279,Healthy
250,102.43465,2.946029,Healthy
251,102.433846,2.947385,Healthy
252,102.433691,2.947525,Healthy
253,102.439126,2.948894,Healthy
254,102.435151,2.947057,Healthy
255,102.432627,2.947714,Healthy
256,102.439745,2.946372,Healthy
257,102.433811,2.94732,Healthy
258,102.432784,2.947984,Healthy
259,102.434766,2.945957,Healthy
260,102.439666,2.946508,Healthy
261,102.432864,2.947852,Healthy
262,102.440017,2.946858,Healthy
263,102.439705,2.946311,Healthy
264,102.434076,2.947934,Healthy
265,102.43255,2.947306,Unhealthy
266,102.439939,2.94713,Healthy
267,102.439445,2.949036,Unhealthy
268,102.439160417,2.948815423,Healthy
269,102.433948,2.944922,Unhealthy
270,102.432861,2.948124,Healthy
271,102.439127,2.948618,Healthy
272,102.439785,2.946442,Healthy
273,102.43365,2.947318,Unhealthy
274,102.433764,2.947656,Healthy
275,102.439941,2.94672,Healthy
276,102.439128,2.948756,Unhealthy
277,102.439828,2.946649,Healthy
278,102.439247,2.948684,Healthy
279,102.434686,2.945957,Unhealthy
280,102.440093,2.946999,Healthy
281,102.439207,2.948896,Healthy
282,102.432673,2.947784,Healthy
283,102.434154,2.948073,Healthy
284,102.439864,2.946716,Healthy
285,102.439943,2.946995,Healthy
286,102.433097,2.948126,Healthy
287,102.433616,2.94711,Healthy
288,102.439326,2.948825,Healthy
289,102.439749,2.946647,Healthy
290,102.439069,2.948334,Healthy
291,102.432707,2.947851,Healthy
292,102.43967,2.946647,Healthy
293,102.439277,2.948756,Healthy
294,102.439519,2.949173,Healthy
295,102.433688,2.947384,Unhealthy
296,102.439481,2.94924,Healthy
297,102.438899,2.948482,Healthy
298,102.433999,2.9478,Healthy
299,102.43906,2.948618,Healthy
300,102.439627,2.946577,Healthy
301,102.438782,2.948274,Healthy
302,102.439518,2.949308,Healthy
303,102.439097,2.948684,Healthy
304,102.433806,2.947591,Healthy
305,102.432826,2.948056,Healthy
306,102.439018,2.948409,Healthy
307,102.439903,2.947063,Healthy
308,102.439864,2.946997,Healthy
309,102.439056,2.948753,Healthy
310,102.439326,2.948969,Healthy
311,102.439209,2.948752,Healthy
312,102.440016,2.947136,Healthy
313,102.439088,2.948826,Healthy
314,102.439824,2.946787,Healthy
315,102.440155,2.947127,Healthy
316,102.439361,2.949034,Healthy
317,102.434571,2.945754,Healthy
318,102.439777,2.946848,Healthy
319,102.439906,2.946655,Healthy
320,102.433685,2.94711,Healthy
321,102.438934,2.948409,Healthy
322,102.438977,2.94834,Unhealthy
323,102.439015,2.948684,Healthy
324,102.439286,2.949168,Healthy
325,102.439409,2.948964,Healthy
326,102.439561,2.94924,Healthy
327,102.439446,2.949309,Healthy
328,102.439237885,2.948827264,Unhealthy
329,102.434202,2.946359,Healthy
330,102.4342,2.946498,Healthy
331,102.436995,2.947153,Healthy
332,102.434251,2.946155,Healthy
333,102.434169,2.946428,Healthy
334,102.43401,2.946153,Healthy
335,102.437029,2.947626,Healthy
336,102.433973,2.946098,Healthy
337,102.437148,2.947696,Healthy
338,102.434173,2.946153,Unhealthy
339,102.434441,2.946927,Healthy
340,102.437144,2.947424,Healthy
341,102.436992,2.947557,Healthy
342,102.436995,2.947285,Healthy
343,102.433932,2.946019,Healthy
344,102.434253,2.946432,Healthy
345,102.438884,2.946492,Healthy
346,102.437262,2.947622,Healthy
347,102.4346,2.946928,Healthy
348,102.437034083,2.94735651,Healthy
349,102.43738,2.947838,Healthy
350,102.434131,2.946359,Healthy
351,102.436956,2.947223,Healthy
352,102.439141,2.946978,Healthy
353,102.437224,2.947696,Healthy
354,102.434477,2.946984,Healthy
355,102.434327,2.946296,Healthy
356,102.434486,2.94657,Healthy
357,102.434684,2.946927,Healthy
358,102.440093,2.947683,Healthy
359,102.43445,2.946503,Healthy
360,102.43437,2.946369,Healthy
361,102.437184,2.947769,Healthy
362,102.437068,2.947547,Healthy
363,102.438762,2.946561,Healthy
364,102.434133,2.946099,Healthy
365,102.434174,2.946019,Healthy
366,102.438554,2.947858,Healthy
367,102.434174,2.946284,Unhealthy
368,102.43869,2.946291,Healthy
369,102.437187,2.947496,Healthy
370,102.434327,2.946433,Healthy
371,102.437074,2.947291,Healthy
372,102.434329,2.946711,Healthy
373,102.434406,2.946571,Healthy
374,102.43742,2.947907,Healthy
375,102.434056,2.946223,Healthy
376,102.437222,2.947833,Healthy
377,102.434643,2.946988,Healthy
378,102.434327,2.946566,Healthy
379,102.436915,2.947421,Healthy
380,102.437069,2.947699,Healthy
381,102.434407,2.946434,Healthy
382,102.43472,2.946986,Healthy
383,102.43715,2.947565,Healthy
384,102.440112,2.94789,Healthy
385,102.438165,2.947715,Healthy
386,102.437265,2.947774,Healthy
387,102.437036,2.947221,Healthy
388,102.439075,2.946978,Healthy
389,102.434524,2.946929,Healthy
390,102.436956,2.947482,Healthy
391,102.440239,2.948226,Healthy
392,102.438595,2.947926,Healthy
393,102.437182,2.947906,Healthy
394,102.434569,2.946712,Healthy
395,102.440045,2.947885,Healthy
396,102.434289,2.946641,Healthy
397,102.439929,2.947812,Healthy
398,102.438688,2.946561,Healthy
399,102.438716,2.947721,Healthy
400,102.43726,2.947897,Healthy
401,102.438902,2.948066,Healthy
402,102.438513,2.947787,Healthy
403,102.437108,2.947353,Healthy
404,102.436918,2.947152,Healthy
405,102.438993,2.947111,Healthy
406,102.440163,2.948225,Healthy
407,102.438275,2.94819,Healthy
408,102.438847,2.946427,Healthy
409,102.43856,2.947721,Healthy
410,102.434487,2.946706,Healthy
411,102.440017,2.947545,Healthy
412,102.436878,2.947346,Healthy
413,102.434364,2.946497,Healthy
414,102.438761,2.946697,Healthy
415,102.434293,2.946363,Unhealthy
416,102.438046,2.947778,Healthy
417,102.434528,2.946636,Healthy
418,102.440089,2.948094,Healthy
419,102.437108,2.947627,Healthy
420,102.437484,2.94804,Healthy
421,102.43896,2.946634,Healthy
422,102.437345,2.947776,Healthy
423,102.437146,2.947831,Healthy
424,102.437383,2.94797,Healthy
425,102.434245,2.946567,Healthy
426,102.440113,2.948163,Healthy
427,102.434524,2.946776,Healthy
428,102.434087,2.946293,Unhealthy
429,102.436799,2.947212,Healthy
430,102.438171,2.947166,Healthy
431,102.438692,2.946153,Unhealthy
432,102.438728,2.946355,Healthy
433,102.438675,2.94765,Healthy
434,102.439079,2.946842,Healthy
435,102.434486,2.946843,Healthy
436,102.437302,2.947838,Healthy
437,102.439774,2.947396,Healthy
438,102.437297,2.94797,Healthy
439,102.434603,2.946777,Healthy
440,102.43852,2.947373,Healthy
441,102.438728,2.946219,Healthy
442,102.439111,2.946909,Healthy
443,102.438521,2.94765,Healthy
444,102.437308,2.9477,Healthy
445,102.438123,2.947779,Healthy
446,102.438442,2.94737,Healthy
447,102.438307,2.948122,Healthy
448,102.434405,2.946843,Healthy
449,102.438867,2.947994,Healthy
450,102.43831,2.947853,Healthy
451,102.438991,2.946975,Healthy
452,102.440043,2.948014,Healthy
453,102.440164,2.948097,Healthy
454,102.437337,2.947905,Healthy
455,102.438637,2.947718,Healthy
456,102.438307,2.94799,Healthy
457,102.434366,2.946638,Healthy
458,102.438726,2.946491,Healthy
459,102.438454,2.946143,Healthy
460,102.43828,2.947783,Healthy
461,102.438395,2.948129,Healthy
462,102.439037,2.946777,Healthy
463,102.439966,2.947884,Healthy
464,102.438533,2.946139,Healthy
465,102.438515,2.947512,Healthy
466,102.438362,2.947236,Healthy
467,102.438313,2.947444,Healthy
468,102.434446,2.946635,Healthy
469,102.438275,2.948053,Healthy
470,102.438883,2.946776,Healthy
471,102.438807,2.946356,Healthy
472,102.437816,2.947224,Unhealthy
473,102.439975,2.947475,Healthy
474,102.440394,2.94823,Healthy
475,102.4384,2.947307,Healthy
476,102.438725,2.94663,Healthy
477,102.438443,2.947239,Healthy
478,102.43892,2.946565,Healthy
479,102.437534,2.948113,Healthy
480,102.438201,2.947912,Healthy
481,102.438655,2.946085,Healthy
482,102.440126,2.948029,Healthy
483,102.438798,2.946772,Healthy
484,102.438748,2.948204,Healthy
485,102.43456,2.946982,Healthy
486,102.438356,2.948063,Healthy
487,102.440088,2.947955,Healthy
488,102.438884,2.946634,Healthy
489,102.434444,2.946776,Healthy
490,102.437416,2.948043,Healthy
491,102.438279,2.947918,Healthy
492,102.438354,2.948192,Healthy
493,102.434758,2.947052,Healthy
494,102.437452,2.948113,Healthy
495,102.438787,2.947997,Healthy
496,102.439737,2.947331,Healthy
497,102.438242,2.947851,Healthy
498,102.438194,2.948051,Healthy
499,102.434645,2.946845,Healthy
500,102.437573,2.948185,Healthy
501,102.438569,2.946349,Healthy
502,102.438479,2.947719,Healthy
503,102.438208,2.947237,Healthy
504,102.439658,2.947195,Healthy
505,102.439854,2.947537,Healthy
506,102.439936,2.947406,Healthy
507,102.438996,2.946707,Healthy
508,102.438709,2.947856,Healthy
509,102.438596,2.947512,Healthy
510,102.43809,2.94757,Healthy
511,102.438406,2.947167,Healthy
512,102.438767,2.946287,Healthy
513,102.437297,2.948109,Healthy
514,102.43726,2.94804,Healthy
515,102.439699,2.947261,Healthy
516,102.43981,2.947606,Healthy
517,102.440113,2.947756,Healthy
518,102.438955,2.947047,Unhealthy
519,102.438247,2.947308,Healthy
520,102.437853,2.947431,Healthy
521,102.440084,2.947819,Healthy
522,102.438607,2.946417,Healthy
523,102.439034,2.94705,Healthy
524,102.438846,2.946839,Healthy
525,102.438672,2.947925,Healthy
526,102.436877,2.947218,Unhealthy
527,102.440203,2.948025,Healthy
528,102.438442,2.947515,Unhealthy
529,102.438824,2.948066,Healthy
530,102.440055,2.947615,Healthy
531,102.438287,2.947234,Healthy
532,102.439657,2.947328,Healthy
533,102.437856,2.947163,Healthy
534,102.437485,2.948183,Healthy
535,102.438671,2.947789,Healthy
536,102.438746,2.947928,Healthy
537,102.438477,2.947583,Healthy
538,102.438362,2.947511,Healthy
539,102.43993,2.94768,Healthy
540,102.440245,2.947957,Healthy
541,102.438316,2.947168,Healthy
542,102.438901,2.948204,Healthy
543,102.437458,2.947975,Healthy
544,102.437898,2.947229,Healthy
545,102.438616,2.946147,Healthy
546,102.438158,2.947982,Healthy
547,102.438559,2.947444,Healthy
548,102.438245,2.947713,Healthy
549,102.437341,2.948041,Healthy
550,102.438398,2.947993,Healthy
551,102.439889,2.947608,Healthy
552,102.438598,2.947647,Healthy
553,102.436842,2.947285,Healthy
554,102.438054,2.947368,Healthy
555,102.434366,2.946774,Healthy
556,102.439072,2.947116,Healthy
557,102.438637,2.947858,Healthy
558,102.437927,2.947572,Healthy
559,102.437691,2.947155,Healthy
560,102.438838,2.946704,Healthy
561,102.43824,2.947983,Healthy
562,102.438845,2.946563,Unhealthy
563,102.439961,2.947615,Healthy
564,102.438357,2.947923,Healthy
565,102.438471,2.948131,Healthy
566,102.439186,2.947049,Healthy
567,102.438919,2.946706,Healthy
568,102.438825,2.948206,Healthy
569,102.438124,2.947913,Healthy
570,102.438249,2.947169,Healthy
571,102.438049,2.947505,Healthy
572,102.439734,2.947466,Healthy
573,102.438597,2.947794,Healthy
574,102.438364,2.947376,Healthy
575,102.438793,2.94786,Healthy
576,102.440204,2.947887,Healthy
577,102.438405,2.947441,Healthy
578,102.438864,2.948136,Healthy
579,102.437888,2.947497,Healthy
580,102.438288,2.947374,Healthy
581,102.438434,2.948059,Healthy
582,102.438055,2.947643,Healthy
583,102.438438,2.947644,Healthy
584,102.437935,2.947167,Healthy
585,102.438004,2.947713,Healthy
586,102.438668,2.948063,Healthy
587,102.440202,2.94816,Healthy
588,102.440012,2.94769,Healthy
589,102.437974,2.947366,Healthy
590,102.438963,2.946772,Healthy
591,102.439774,2.947537,Healthy
592,102.438168,2.947841,Healthy
593,102.438433,2.948201,Healthy
594,102.438484,2.947302,Healthy
595,102.438093,2.947442,Healthy
596,102.439887,2.947744,Healthy
597,102.438996,2.946841,Healthy
598,102.437334,2.948174,Healthy
599,102.438315,2.947303,Healthy
600,102.438921,2.946842,Healthy
601,102.438788,2.948133,Healthy
602,102.439891,2.947468,Healthy
603,102.439813,2.947468,Healthy
604,102.438765,2.946423,Healthy
605,102.439037,2.946908,Healthy
606,102.438879,2.946906,Healthy
607,102.44036,2.948167,Healthy
608,102.434409,2.946705,Healthy
609,102.438167,2.947573,Healthy
610,102.437932,2.947428,Unhealthy
611,102.439221,2.947119,Healthy
612,102.438983,2.948204,Healthy
613,102.438751,2.947791,Healthy
614,102.440284,2.948024,Healthy
615,102.438081,2.947844,Healthy
616,102.437776,2.947154,Healthy
617,102.439578,2.9472,Healthy
618,102.437971,2.947504,Healthy
619,102.438479,2.947442,Healthy
620,102.438128,2.947643,Healthy
621,102.440318,2.94823,Healthy
622,102.438084,2.94771,Healthy
623,102.438746,2.948066,Healthy
624,102.438572,2.946082,Healthy
625,102.438494,2.946212,Healthy
626,102.439852,2.947266,Healthy
627,102.438552,2.947582,Healthy
628,102.438649,2.946489,Healthy
629,102.438807,2.946495,Healthy
630,102.438512,2.948198,Healthy
631,102.434572,2.946844,Healthy
632,102.440236,2.948093,Healthy
633,102.440286,2.948163,Healthy
634,102.440322,2.948101,Healthy
635,102.440162,2.947959,Healthy
636,102.440159,2.947817,Healthy
637,102.439886,2.947336,Healthy
638,102.439771,2.947261,Healthy
639,102.439809,2.94719,Healthy
640,102.439731,2.947192,Healthy
641,102.439609,2.947255,Healthy
642,102.439691,2.947404,Healthy
643,102.438944,2.948138,Healthy
644,102.438824,2.947931,Healthy
645,102.43824,2.948122,Healthy
646,102.438709,2.948129,Healthy
647,102.438705,2.947991,Healthy
648,102.438629,2.947579,Healthy
649,102.437969,2.947229,Healthy
650,102.438012,2.947296,Healthy
651,102.437932,2.947296,Healthy
652,102.437855,2.947293,Healthy
