n_plots,pos_plots,pr_auc,pr_std,bal,rec,f1,loc,s,thr,sel
158,20,0.12498638405593293,0.05941123586800279,0.5,0.0,0.0,Palong_Basemap,5,0.3,raw
158,20,0.1301771850597445,0.06476184235220309,0.5,0.0,0.0,Palong_Basemap,5,0.3,mi30
158,20,0.1580581038606853,0.07468358185186547,0.5,0.0,0.0,Palong_Basemap,5,0.3,mi50
105,57,0.5876220898910196,0.05293941905134214,0.5265700483091788,0.358695652173913,0.4242424242424242,Palong_Basemap,6,0.0,raw
105,57,0.6110244116535959,0.10519119574126196,0.5853367433930095,0.4373401534526854,0.5263157894736842,Palong_Basemap,6,0.0,mi30
105,57,0.5660730794656768,0.09628410146074956,0.5205385052571754,0.3132992327365729,0.4101604278074866,Palong_Basemap,6,0.0,mi50
105,31,0.25707487816804264,0.02013023653334027,0.5,0.0,0.0,Palong_Basemap,6,0.1,raw
105,31,0.302646541515468,0.00039720618068608826,0.5,0.0,0.0,Palong_Basemap,6,0.1,mi30
105,31,0.2800731493227814,0.0038214335588705184,0.5,0.0,0.0,Palong_Basemap,6,0.1,mi50
105,18,0.21495625586534675,0.15185932647741046,0.5,0.0,0.0,Palong_Basemap,6,0.2,raw
105,18,0.2102556940679546,0.15965216175766403,0.5,0.0,0.0,Palong_Basemap,6,0.2,mi30
105,18,0.23051430892339986,0.1748283143437106,0.5,0.0,0.0,Palong_Basemap,6,0.2,mi50
105,10,0.1249156010612919,0.07794797680228596,0.5,0.0,0.0,Palong_Basemap,6,0.3,raw
105,10,0.1081886923992187,0.041806926017452326,0.5,0.0,0.0,Palong_Basemap,6,0.3,mi30
105,10,0.11184788630166781,0.06802406247784398,0.5,0.0,0.0,Palong_Basemap,6,0.3,mi50
86,48,0.6779090756912158,0.16419439402042274,0.5389464882943145,0.4817391304347826,0.375,Palong_Basemap,7,0.0,raw
86,48,0.6577005397459469,0.17460696874442586,0.5911705685618729,0.5669565217391304,0.49597423510466987,Palong_Basemap,7,0.0,mi30
86,48,0.7034198078659054,0.15538792319246497,0.6000167224080267,0.5269565217391304,0.49189814814814814,Palong_Basemap,7,0.0,mi50
86,27,0.338185525068648,0.1981818808342388,0.4942528735632184,0.0,0.0,Palong_Basemap,7,0.1,raw
86,27,0.4085119164722745,0.28111923299099795,0.47826086956521735,0.0,0.0,Palong_Basemap,7,0.1,mi30
86,27,0.4157981182426487,0.2734468071846703,0.47826086956521735,0.0,0.0,Palong_Basemap,7,0.1,mi50
86,13,0.2166307034419853,0.116478341436175,0.5,0.0,0.0,Palong_Basemap,7,0.2,raw
