accuracy,balanced_accuracy,precision_unhealthy,recall_unhealthy,f1_unhealthy,f1_macro,roc_auc,pr_auc,brier_score,cohen_kappa,runtime_train_s,runtime_pred_s,tn,fp,fn,tp,threshold_used,location,model,config,eval_type,fold,gsmote
0.8548972188633616,0.5069752281616688,0.08333333333333333,0.1,0.09090909090909091,0.5060327320511289,0.4876358105171664,0.07677515028206312,0.46916354247168196,0.0127730691178225,3.73075008392334,0.4346287250518799,701.0,66.0,54.0,6.0,0.8720402777777779,Census,RandomForest,tuned,spatial_cv,2.0,True
0.9487179487179487,0.49707943925233644,0.0,0.0,0.0,0.4868421052631579,0.5608901299293367,0.0643197946556156,0.1313647295646486,-0.010036228336433917,1.8349180221557617,0.007939338684082031,851.0,5.0,41.0,0.0,0.997771680355072,Census,XGBoost,default,spatial_cv,0.0,True
0.9250317662007624,0.5,0.0,0.0,0.0,0.48052805280528055,0.5140156453715776,0.08772323999077489,0.11288717907263006,0.0,1.833113431930542,0.008127450942993164,728.0,0.0,59.0,0.0,0.9977477192878723,Census,XGBoost,default,spatial_cv,1.0,True
0.9274486094316807,0.5,0.0,0.0,0.0,0.48117942283563364,0.5402868318122556,0.07957025414472794,0.12012269960679663,0.0,1.8513998985290527,0.007738351821899414,767.0,0.0,60.0,0.0,0.9979344606399536,Census,XGBoost,default,spatial_cv,2.0,True
0.9453734671125975,0.5069381126054251,0.1,0.024390243902439025,0.0392156862745098,0.5055516182376565,0.5496067927969,0.06862574844844507,0.15320825380030126,0.02167961359538817,1.6615822315216064,0.0074884891510009766,847.0,9.0,40.0,1.0,0.9926280379295349,Census,XGBoost,tuned,spatial_cv,0.0,True
0.9250317662007624,0.5,0.0,0.0,0.0,0.48052805280528055,0.49178152356118454,0.09117669811878014,0.1292263313739901,0.0,1.612685203552246,0.007479667663574219,728.0,0.0,59.0,0.0,0.9929785132408142,Census,XGBoost,tuned,spatial_cv,1.0,True
0.9274486094316807,0.5,0.0,0.0,0.0,0.48117942283563364,0.5141894828335507,0.07140257639282178,0.14137207018160908,0.0,1.6643712520599365,0.00684809684753418,767.0,0.0,60.0,0.0,0.9923457503318787,Census,XGBoost,tuned,spatial_cv,2.0,True
0.9542920847268673,0.5,0.0,0.0,0.0,0.4883057615516258,0.5664748119443811,0.08269059087583741,0.04410348237529189,0.0,1.8298900127410889,0.5016205310821533,856.0,0.0,41.0,0.0,0.7890892624855042,Census,TabFM,standard,spatial_cv,0.0,True
0.9250317662007624,0.5,0.0,0.0,0.0,0.48052805280528055,0.5427803129074316,0.09282736397648311,0.07289873735115807,0.0,1.9989254474639893,0.45892882347106934,728.0,0.0,59.0,0.0,0.7983265519142151,Census,TabFM,standard,spatial_cv,1.0,True
0.9274486094316807,0.5,0.0,0.0,0.0,0.48117942283563364,0.5033029117774881,0.07470958652084901,0.0710483510409286,0.0,1.9319953918457031,0.45590686798095703,767.0,0.0,60.0,0.0,0.7898107171058655,Census,TabFM,standard,spatial_cv,2.0,True
0.9542920847268673,0.5,0.0,0.0,0.0,0.4883057615516258,0.5495213129701391,0.08371047980935285,0.04441889656110643,0.0,12.251749753952026,0.6049942970275879,856.0,0.0,41.0,0.0,0.8597813955918786,Census,TabFM,ensemble,spatial_cv,0.0,True
0.9250317662007624,0.5,0.0,0.0,0.0,0.48052805280528055,0.553524864965543,0.07927339494523561,0.07444819565072001,0.0,13.439168214797974,0.551041841506958,728.0,0.0,59.0,0.0,0.7544402942935953,Census,TabFM,ensemble,spatial_cv,1.0,True
0.9274486094316807,0.5,0.0,0.0,0.0,0.48117942283563364,0.5534767492394611,0.09845317815015704,0.07096835011699944,0.0,13.005475997924805,0.5475625991821289,767.0,0.0,60.0,0.0,0.9004478228610562,Census,TabFM,ensemble,spatial_cv,2.0,True
